anchor_date,split,event_id,hazard_label,event_start,event_end,event_node_index,optical_acquisition_dates,optical_item_ids,thermal_slot_dates,velocity_source_years,snapshot_sha256
2020-03-25,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-02-10T05:49:51.024000+00:00|2020-02-15T05:49:29.024000+00:00|2020-02-20T05:48:51.024000+00:00|2020-02-25T05:48:19.024000+00:00|2020-03-01T05:47:41.024000+00:00|2020-03-11T05:46:31.024000+00:00|2020-03-16T05:46:39.024000+00:00,S2A_MSIL2A_20200210T054951_R048_T43SDA_20201001T135808|S2B_MSIL2A_20200215T054929_R048_T43SDA_20201002T020446|S2A_MSIL2A_20200220T054851_R048_T43SDA_20200930T030905|S2B_MSIL2A_20200225T054819_R048_T43SDA_20200928T083303|S2A_MSIL2A_20200301T054741_R048_T43SDA_20200925T231225|S2A_MSIL2A_20200311T054631_R048_T43SDA_20201005T165917|S2B_MSIL2A_20200316T054639_R048_T43SDA_20201010T095529,2020-02-26|2020-03-05|2020-03-13|2020-03-21,2016|2017|2018|2019,1c93cfe34f0f56926ea02150e232de7a9588568fc6ea66cdfd136d74bf976fe0
2020-04-02,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-02-15T05:49:29.024000+00:00|2020-02-20T05:48:51.024000+00:00|2020-02-25T05:48:19.024000+00:00|2020-03-01T05:47:41.024000+00:00|2020-03-11T05:46:31.024000+00:00|2020-03-16T05:46:39.024000+00:00,S2B_MSIL2A_20200215T054929_R048_T43SDA_20201002T020446|S2A_MSIL2A_20200220T054851_R048_T43SDA_20200930T030905|S2B_MSIL2A_20200225T054819_R048_T43SDA_20200928T083303|S2A_MSIL2A_20200301T054741_R048_T43SDA_20200925T231225|S2A_MSIL2A_20200311T054631_R048_T43SDA_20201005T165917|S2B_MSIL2A_20200316T054639_R048_T43SDA_20201010T095529,2020-03-05|2020-03-13|2020-03-21|2020-03-29,2016|2017|2018|2019,9c471f893c3a0049d12bb08e861b455c65e0f17df99b82702b3f54dade0fcace
2020-04-10,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-02-25T05:48:19.024000+00:00|2020-03-01T05:47:41.024000+00:00|2020-03-11T05:46:31.024000+00:00|2020-03-16T05:46:39.024000+00:00|2020-04-05T05:46:39.024000+00:00|2020-04-10T05:46:41.024000+00:00,S2B_MSIL2A_20200225T054819_R048_T43SDA_20200928T083303|S2A_MSIL2A_20200301T054741_R048_T43SDA_20200925T231225|S2A_MSIL2A_20200311T054631_R048_T43SDA_20201005T165917|S2B_MSIL2A_20200316T054639_R048_T43SDA_20201010T095529|S2B_MSIL2A_20200405T054639_R048_T43SDA_20200925T032635|S2A_MSIL2A_20200410T054641_R048_T43SDA_20200925T180854,2020-03-13|2020-03-21|2020-03-29|2020-04-06,2016|2017|2018|2019,06f1a94b179286bd7554f4b5d5c8a9e4a69aa952f58f1923fd4f20c37f55ee1c
2020-04-18,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-03-11T05:46:31.024000+00:00|2020-03-16T05:46:39.024000+00:00|2020-04-05T05:46:39.024000+00:00|2020-04-10T05:46:41.024000+00:00,S2A_MSIL2A_20200311T054631_R048_T43SDA_20201005T165917|S2B_MSIL2A_20200316T054639_R048_T43SDA_20201010T095529|S2B_MSIL2A_20200405T054639_R048_T43SDA_20200925T032635|S2A_MSIL2A_20200410T054641_R048_T43SDA_20200925T180854,2020-03-21|2020-03-29|2020-04-06|2020-04-14,2016|2017|2018|2019,c6567b2c42ea3e1b46caa9774cf039ec3a89ce8958169f4053ab5cb9c2b9df8e
2020-04-26,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-03-11T05:46:31.024000+00:00|2020-03-16T05:46:39.024000+00:00|2020-04-05T05:46:39.024000+00:00|2020-04-10T05:46:41.024000+00:00|2020-04-20T05:46:41.024000+00:00|2020-04-25T05:46:29.024000+00:00,S2A_MSIL2A_20200311T054631_R048_T43SDA_20201005T165917|S2B_MSIL2A_20200316T054639_R048_T43SDA_20201010T095529|S2B_MSIL2A_20200405T054639_R048_T43SDA_20200925T032635|S2A_MSIL2A_20200410T054641_R048_T43SDA_20200925T180854|S2A_MSIL2A_20200420T054641_R048_T43SDA_20200924T062924|S2B_MSIL2A_20200425T054629_R048_T43SDA_20200922T015612,2020-03-29|2020-04-06|2020-04-14|2020-04-22,2016|2017|2018|2019,300902fc1c06a38521cacf292ef978f164483f38071b571863712e8e59bfe725
2020-05-04,train,shisper_2020_glof,1.0,2020-05-29,2020-05-29,62,2020-04-05T05:46:39.024000+00:00|2020-04-10T05:46:41.024000+00:00|2020-04-20T05:46:41.024000+00:00|2020-04-25T05:46:29.024000+00:00|2020-04-30T05:46:41.024000+00:00,S2B_MSIL2A_20200405T054639_R048_T43SDA_20200925T032635|S2A_MSIL2A_20200410T054641_R048_T43SDA_20200925T180854|S2A_MSIL2A_20200420T054641_R048_T43SDA_20200924T062924|S2B_MSIL2A_20200425T054629_R048_T43SDA_20200922T015612|S2A_MSIL2A_20200430T054641_R048_T43SDA_20200922T163039,2020-04-06|2020-04-14|2020-04-22|2020-04-30,2016|2017|2018|2019,70ad064af5cde676d4623c318b17ec4245f033ae26c4b79131dd8e5b3b3df64a
2020-05-12,train,shisper_2020_glof,1.0,2020-05-29,2020-05-29,62,2020-04-05T05:46:39.024000+00:00|2020-04-10T05:46:41.024000+00:00|2020-04-20T05:46:41.024000+00:00|2020-04-25T05:46:29.024000+00:00|2020-04-30T05:46:41.024000+00:00|2020-05-10T05:46:41.024000+00:00,S2B_MSIL2A_20200405T054639_R048_T43SDA_20200925T032635|S2A_MSIL2A_20200410T054641_R048_T43SDA_20200925T180854|S2A_MSIL2A_20200420T054641_R048_T43SDA_20200924T062924|S2B_MSIL2A_20200425T054629_R048_T43SDA_20200922T015612|S2A_MSIL2A_20200430T054641_R048_T43SDA_20200922T163039|S2A_MSIL2A_20200510T054641_R048_T43SDA_20200919T205959,2020-04-14|2020-04-22|2020-04-30|2020-05-08,2016|2017|2018|2019,1513278f9e84c898bc5958e6129bd7757afc263c5d7ddd6f46717d92a12628da
2020-05-20,train,shisper_2020_glof,1.0,2020-05-29,2020-05-29,62,2020-04-05T05:46:39.024000+00:00|2020-04-10T05:46:41.024000+00:00|2020-04-20T05:46:41.024000+00:00|2020-04-25T05:46:29.024000+00:00|2020-04-30T05:46:41.024000+00:00|2020-05-10T05:46:41.024000+00:00|2020-05-15T05:46:39.024000+00:00|2020-05-20T05:46:41.024000+00:00,S2B_MSIL2A_20200405T054639_R048_T43SDA_20200925T032635|S2A_MSIL2A_20200410T054641_R048_T43SDA_20200925T180854|S2A_MSIL2A_20200420T054641_R048_T43SDA_20200924T062924|S2B_MSIL2A_20200425T054629_R048_T43SDA_20200922T015612|S2A_MSIL2A_20200430T054641_R048_T43SDA_20200922T163039|S2A_MSIL2A_20200510T054641_R048_T43SDA_20200919T205959|S2B_MSIL2A_20200515T054639_R048_T43SDA_20200918T080507|S2A_MSIL2A_20200520T054641_R048_T43SDA_20200910T072143,2020-04-22|2020-04-30|2020-05-08|2020-05-16,2016|2017|2018|2019,da6cf7fd3195c57bcd95cc8cbc11eab47822bbe385596c0bc78d2e2ceccfd06a
2020-05-28,train,shisper_2020_glof,1.0,2020-05-29,2020-05-29,62,2020-04-20T05:46:41.024000+00:00|2020-04-25T05:46:29.024000+00:00|2020-04-30T05:46:41.024000+00:00|2020-05-10T05:46:41.024000+00:00|2020-05-15T05:46:39.024000+00:00|2020-05-20T05:46:41.024000+00:00|2020-05-25T05:46:39.024000+00:00,S2A_MSIL2A_20200420T054641_R048_T43SDA_20200924T062924|S2B_MSIL2A_20200425T054629_R048_T43SDA_20200922T015612|S2A_MSIL2A_20200430T054641_R048_T43SDA_20200922T163039|S2A_MSIL2A_20200510T054641_R048_T43SDA_20200919T205959|S2B_MSIL2A_20200515T054639_R048_T43SDA_20200918T080507|S2A_MSIL2A_20200520T054641_R048_T43SDA_20200910T072143|S2B_MSIL2A_20200525T054639_R048_T43SDA_20200910T230140,2020-04-30|2020-05-08|2020-05-16|2020-05-24,2016|2017|2018|2019,d4fddd3d036d3b08966a336a6a34f2836353aa1b1ece550bfd1fd56e57345c3d
2021-03-01,validation,shisper_2021_glof,0.0,2021-05-10,2021-05-20,62,2021-01-15T05:52:01.024000+00:00|2021-01-20T05:51:49.024000+00:00|2021-01-25T05:51:21.024000+00:00|2021-01-30T05:50:59.024000+00:00|2021-02-04T05:50:31.024000+00:00|2021-02-14T05:49:31.024000+00:00|2021-02-19T05:48:59.024000+00:00|2021-03-01T05:47:49.024000+00:00,S2A_MSIL2A_20210115T055201_R048_T43SDA_20210115T162930|S2B_MSIL2A_20210120T055149_R048_T43SDA_20210120T162048|S2A_MSIL2A_20210125T055121_R048_T43SDA_20210125T153247|S2B_MSIL2A_20210130T055059_R048_T43SDA_20210130T164222|S2A_MSIL2A_20210204T055031_R048_T43SDA_20210204T180722|S2A_MSIL2A_20210214T054931_R048_T43SDA_20210215T170423|S2B_MSIL2A_20210219T054859_R048_T43SDA_20210219T190022|S2B_MSIL2A_20210301T054749_R048_T43SDA_20210301T184506,2021-02-02|2021-02-10|2021-02-18|2021-02-26,2017|2018|2019|2020,1e13c16b97ff15d59730a1e131944485e9875a2c53697b90953b5aa4a9f6354a
2021-03-09,validation,shisper_2021_glof,0.0,2021-05-10,2021-05-20,62,2021-01-25T05:51:21.024000+00:00|2021-01-30T05:50:59.024000+00:00|2021-02-04T05:50:31.024000+00:00|2021-02-14T05:49:31.024000+00:00|2021-02-19T05:48:59.024000+00:00|2021-03-01T05:47:49.024000+00:00,S2A_MSIL2A_20210125T055121_R048_T43SDA_20210125T153247|S2B_MSIL2A_20210130T055059_R048_T43SDA_20210130T164222|S2A_MSIL2A_20210204T055031_R048_T43SDA_20210204T180722|S2A_MSIL2A_20210214T054931_R048_T43SDA_20210215T170423|S2B_MSIL2A_20210219T054859_R048_T43SDA_20210219T190022|S2B_MSIL2A_20210301T054749_R048_T43SDA_20210301T184506,2021-02-10|2021-02-18|2021-02-26|2021-03-06,2017|2018|2019|2020,d3e50ea113926c8aef648f05d9bf8d024420414bb962aa80440acfc6065d13ce
2021-03-17,validation,shisper_2021_glof,0.0,2021-05-10,2021-05-20,62,2021-01-30T05:50:59.024000+00:00|2021-02-04T05:50:31.024000+00:00|2021-02-14T05:49:31.024000+00:00|2021-02-19T05:48:59.024000+00:00|2021-03-01T05:47:49.024000+00:00,S2B_MSIL2A_20210130T055059_R048_T43SDA_20210130T164222|S2A_MSIL2A_20210204T055031_R048_T43SDA_20210204T180722|S2A_MSIL2A_20210214T054931_R048_T43SDA_20210215T170423|S2B_MSIL2A_20210219T054859_R048_T43SDA_20210219T190022|S2B_MSIL2A_20210301T054749_R048_T43SDA_20210301T184506,2021-02-18|2021-02-26|2021-03-06|2021-03-14,2017|2018|2019|2020,83e620189f847831a06fefe08d1b9156c52f1622114d6bf1b83b4624a747feb0
2021-03-25,validation,shisper_2021_glof,0.0,2021-05-10,2021-05-20,62,2021-02-14T05:49:31.024000+00:00|2021-02-19T05:48:59.024000+00:00|2021-03-01T05:47:49.024000+00:00,S2A_MSIL2A_20210214T054931_R048_T43SDA_20210215T170423|S2B_MSIL2A_20210219T054859_R048_T43SDA_20210219T190022|S2B_MSIL2A_20210301T054749_R048_T43SDA_20210301T184506,2021-02-26|2021-03-06|2021-03-14|2021-03-22,2017|2018|2019|2020,b6da8d6f223106557280aa064d732d31500ae6d829749ba93a19d557627711c6
2021-04-02,validation,shisper_2021_glof,0.0,2021-05-10,2021-05-20,62,2021-02-14T05:49:31.024000+00:00|2021-02-19T05:48:59.024000+00:00|2021-03-01T05:47:49.024000+00:00|2021-03-31T05:46:39.024000+00:00,S2A_MSIL2A_20210214T054931_R048_T43SDA_20210215T170423|S2B_MSIL2A_20210219T054859_R048_T43SDA_20210219T190022|S2B_MSIL2A_20210301T054749_R048_T43SDA_20210301T184506|S2B_MSIL2A_20210331T054639_R048_T43SDA_20210331T143729,2021-03-06|2021-03-14|2021-03-22|2021-03-30,2017|2018|2019|2020,233e4b8ae525a87cf8f83f666e81888306bf60d2162f26384c8f1d0abc8ee75c
